factor,slider.response,my_rs,difference
standard_plot,0.68,0.559090909,-0.12090909100000002
standard_plot,0.735555556,0.541136364,-0.194419192
standard_plot,0.843333333,0.828409091,-0.01492424199999997
standard_plot,0.853333333,0.523181818,-0.33015151500000006
size_manipulated,0.792222222,0.577045455,-0.215176767
standard_plot,0.806666667,0.7925,-0.01416666700000002
standard_plot,0.652222222,0.505227273,-0.146994949
size_manipulated,0.921111111,0.882272727,-0.03883838399999995
size_manipulated,0.863333333,0.7925,-0.07083333300000005
size_manipulated,0.307777778,0.289772727,-0.01800505099999999
standard_plot,0.238888889,0.235909091,-0.002979798
size_manipulated,0.67,0.702727273,0.032727273
size_manipulated,0.894444444,0.900227273,0.00578282900000004
size_manipulated,0.867777778,0.936136364,0.068358586
size_manipulated,0.534444444,0.325681818,-0.208762626
standard_plot,0.677777778,0.774545455,0.096767677
size_manipulated,0.467777778,0.343636364,-0.12414141399999996
size_manipulated,0.981111111,0.972045455,-0.00906565600000008
